"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","4u7","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2","1","22u","","","","Capacitor_SMD:C_1206_3216Metric",""
"C3","1","10p","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1,D2","2","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"IC1","1","AP3015AKTR-G1","","","","AP3015AKTR-G1:SOT95P280X145-5N",""
"K1","1","OUT","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"K2","1","BAT","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"K3","1","ON/OFF","","","","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
"K4","1","SOLAR","","","","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
"L1","1","10uH","","","","Inductor_SMD:L_2010_5025Metric_Pad1.52x2.65mm_HandSolder",""
"R1,R4","2","1M","","","","Resistor_SMD:R_0805_2012Metric",""
"R2","1","604K","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","10K","","","","Resistor_SMD:R_0805_2012Metric",""
"T1","1","2N7002","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
